         128959544 function calls (128371904 primitive calls) in 467.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3416    0.004    0.000    0.037    0.000 queues.py:110(put)
     8404    0.022    0.000    0.036    0.000 inspect.py:175(get_annotations)
    15535    0.029    0.000    0.036    0.000 _weakrefset.py:85(add)
    24/22    0.000    0.000    0.036    0.002 api_client.py:25(execute_js)
  730/726    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    77030    0.035    0.000    0.035    0.000 futures.py:189(result)
    24/22    0.000    0.000    0.035    0.002 provider.py:82(evaluate_js)
    60927    0.035    0.000    0.035    0.000 {built-in method _asyncio._leave_task}
    51885    0.034    0.000    0.034    0.000 baseline_risk_mixin.py:13(_check_for_sl_tp)
    19424    0.028    0.000    0.034    0.000 base_events.py:1895(_add_callback)
    52443    0.033    0.000    0.033    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.033    0.033 base_events.py:1(<module>)
     8732    0.008    0.000    0.033    0.000 _connection.py:239(<lambda>)
   139859    0.033    0.000    0.033    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.033    0.033 _assertions.py:1(<module>)
       48    0.000    0.000    0.032    0.001 _page.py:463(evaluate)
    26202    0.008    0.000    0.032    0.000 tasks.py:460(<genexpr>)
       48    0.000    0.000    0.032    0.001 _frame.py:318(evaluate)
121004/61004    0.023    0.000    0.032    0.000 encoder.py:334(_iterencode_dict)
        1    0.000    0.000    0.032    0.032 cdp_util.py:1(<module>)
   136432    0.032    0.000    0.032    0.000 {method 'popleft' of 'collections.deque' objects}
     3441    0.009    0.000    0.031    0.000 _base.py:537(set_result)
     3415    0.008    0.000    0.031    0.000 queues.py:137(put_nowait)
       24    0.000    0.000    0.031    0.001 _generated.py:8513(evaluate)
    19424    0.030    0.000    0.030    0.000 selectors.py:275(_key_from_fd)
        1    0.000    0.000    0.030    0.030 compat.py:1(<module>)
     5893    0.010    0.000    0.030    0.000 queues.py:149(get)
    52400    0.018    0.000    0.029    0.000 <string>:1(<lambda>)
   152758    0.029    0.000    0.029    0.000 futures.py:119(get_loop)
   136469    0.028    0.000    0.028    0.000 {method 'append' of 'collections.deque' objects}
    17477    0.019    0.000    0.028    0.000 pathlib.py:1166(__new__)
   104800    0.019    0.000    0.028    0.000 inspect.py:478(isframe)
        3    0.000    0.000    0.026    0.009 request.py:1(<module>)
    66584    0.026    0.000    0.026    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.026    0.009 display.py:1(<module>)
       19    0.000    0.000    0.026    0.001 __init__.py:73(import_module)
       19    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
        3    0.000    0.000    0.026    0.009 client.py:1(<module>)
        3    0.000    0.000    0.026    0.009 easyprocess.py:179(call)
        2    0.000    0.000    0.026    0.013 api.py:1(<module>)
        3    0.000    0.000    0.024    0.008 display.py:88(__init__)
     8732    0.006    0.000    0.024    0.000 _connection.py:648(_augment_params)
     3115    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
